Cod,Ano Letivo,Serie,Andamento adesao,Situacao,Matricula,Escola
25,2019,9,PRE-INSCRITO,Aprovado,116690539546,ESCOLA MUNICIPAL ALTIVO CESAR
25,2020,1,PRE-INSCRITO,Aprovado,202031850834439,CE CONSELHEIRO MACEDO SOARES
25,2021,2,PRE-INSCRITO,Aprovado,202031850834439,CE CONSELHEIRO MACEDO SOARES
25,2022,3,PRE-INSCRITO,Aprovado,202031850834439,CE CONSELHEIRO MACEDO SOARES
26,2019,9,VALOR DEPOSITADO,Aprovado,114248593520,E M JOSE DE ANCHIETA
26,2020,1,VALOR DEPOSITADO,Aprovado,202032050426741,CE HILARIO RIBEIRO
26,2021,2,CONCLUIDA,Reprovado,202032050426741,CE HILARIO RIBEIRO
27,2019,9,VALOR DEPOSITADO,Aprovado,117528430969,E M JOSE DE ANCHIETA
27,2019,9,VALOR DEPOSITADO,Aprovado,117528430969,E M JOSE DE ANCHIETA
27,2020,1,VALOR DEPOSITADO,Aprovado,202032100400724,CE HILARIO RIBEIRO
27,2020,1,VALOR DEPOSITADO,Aprovado,202032100400724,CE HILARIO RIBEIRO
27,2021,2,VALOR DEPOSITADO,Aprovado,202032100400724,CE HILARIO RIBEIRO
27,2021,2,VALOR DEPOSITADO,Aprovado,202032100400724,CE HILARIO RIBEIRO
27,2022,3,VALOR DEPOSITADO,Aprovado,202032100400724,CE HILARIO RIBEIRO
29,2019,9,VALOR DEPOSITADO,Aprovado,118251964350,E M MAESTRO HEITOR VILLA LOBOS
29,2022,2,VALOR DEPOSITADO,Aprovado,202031881508266,LICEU NILO PECANHA
29,2023,3,CONCLUIDA,Não avaliado,202031881508266,LICEU NILO PECANHA
30,2019,9,VALOR DEPOSITADO,Aprovado,116776288630,ESCOLA MUNICIPAL ALTIVO CESAR
30,2020,1,VALOR DEPOSITADO,Aprovado,200914730021860,CE CONSELHEIRO MACEDO SOARES
30,2021,2,VALOR DEPOSITADO,Aprovado,200914730021860,CE CONSELHEIRO MACEDO SOARES
30,2022,3,CONCLUIDA,Transferido,200914730021860,CE CONSELHEIRO MACEDO SOARES
31,2019,9,VALOR DEPOSITADO,Aprovado,116534957158,ESCOLA MUNICIPAL SANTOS DUMONT
31,2020,1,VALOR DEPOSITADO,Aprovado,201732300431282,CE RAUL VIDAL
31,2021,2,VALOR DEPOSITADO,Aprovado,201732300431282,CE RAUL VIDAL
31,2022,3,CONCLUIDA,Reprovado,202231881672867,CE RAUL VIDAL
31,2023,3,CONCLUIDA,Não avaliado,201732300431282,CE RAUL VIDAL
32,2019,9,VALOR DEPOSITADO,Aprovado,116507885095,E M FRANCISCO PORTUGAL NEVES
32,2019,9,VALOR DEPOSITADO,Aprovado,116507885095,E M FRANCISCO PORTUGAL NEVES
32,2020,1,VALOR DEPOSITADO,Aprovado,202031930416910,CE ALMIRANTE TAMANDARE
32,2020,1,VALOR DEPOSITADO,Aprovado,202031930416910,CE ALMIRANTE TAMANDARE
32,2021,2,VALOR DEPOSITADO,Aprovado,202031930416910,CE ALMIRANTE TAMANDARE
32,2021,2,VALOR DEPOSITADO,Aprovado,202031930416910,CE ALMIRANTE TAMANDARE
32,2022,3,VALOR DEPOSITADO,Aprovado,202031930416910,CE ALMIRANTE TAMANDARE
33,2019,9,CONCLUIDA,Reprovado,119345995306,E M JOSE DE ANCHIETA
33,2020,9,VALOR DEPOSITADO,Aprovado,119345995306,E M JOSE DE ANCHIETA
33,2021,1,VALOR DEPOSITADO,Aprovado,202132100420802,CE HILARIO RIBEIRO
34,2019,9,CONCLUIDA,Reprovado,117218705986,E M LEVI CARNEIRO
34,2020,9,VALOR DEPOSITADO,Aprovado,117218705986,CE JOAQUIM TAVORA
34,2021,1,CONCLUIDA,Dep.outros anos,202031870891632,CE JOAQUIM TAVORA
35,2019,9,VALOR DEPOSITADO,Aprovado,111996776397,E M RACHIDE DA GLORIA SALIM SAKER
35,2019,9,VALOR DEPOSITADO,Aprovado,111996776397,E M RACHIDE DA GLORIA SALIM SAKER
35,2020,1,VALOR DEPOSITADO,Aprovado,201017810032810,CE BRIGADEIRO CASTRIOTO
35,2020,1,VALOR DEPOSITADO,Aprovado,201017810032810,CE BRIGADEIRO CASTRIOTO
35,2021,2,VALOR DEPOSITADO,Aprovado,201017810032810,CIEP 251 DONA MARIA PORTUGAL
35,2021,2,VALOR DEPOSITADO,Aprovado,201017810032810,CIEP 251 DONA MARIA PORTUGAL
35,2022,3,VALOR DEPOSITADO,Aprovado,201017810032810,CIEP 251 DONA MARIA PORTUGAL
36,2019,9,CONCLUIDA,Reprovado,121397807287,E M HONORINA DE CARVALHO
40,2019,9,INSCRICAO PARCIAL,Reprovado,117537385555,E M JOSE DE ANCHIETA
41,2019,9,VALOR DEPOSITADO,Aprovado,113490976834,E M FRANCISCO PORTUGAL NEVES
41,2020,1,CONCLUIDA,Aprovado,202032300549314,CE AURELINO LEAL
41,2021,2,CONCLUIDA,Aprovado,202032300549314,CE AURELINO LEAL
41,2022,3,CONCLUIDA,Reprovado,202032300549314,CE AURELINO LEAL
41,2023,3,CONCLUIDA,Não avaliado,202032300549314,LICEU NILO PECANHA
42,2019,9,ELEGIVEL,Reprovado,122114718203,E M LEVI CARNEIRO
43,2019,1,VALOR DEPOSITADO,Aprovado,2012.0301.4182,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
43,2019,1,VALOR DEPOSITADO,Aprovado,2012.0301.4182,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
43,2020,2,VALOR DEPOSITADO,Aprovado,2012.0301.4182,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
43,2020,2,VALOR DEPOSITADO,Aprovado,2012.0301.4182,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
43,2021,3,VALOR DEPOSITADO,Aprovado,2012.0301.4182,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
44,2019,9,VALOR DEPOSITADO,Aprovado,122749714396,ESCOLA MUNICIPAL SANTOS DUMONT
44,2020,1,CONCLUIDA,Reprovado,20201001224,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
44,2021,1,CONCLUIDA,Reprovado,20201001224,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
44,2022,1,CONCLUIDA,Reprovado,20201001224,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
44,2023,1,CONCLUIDA,Não avaliado,20201001224,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
45,2019,9,CONCLUIDA,Reprovado,116591800904,E M PAULO FREIRE
45,2020,9,VALOR DEPOSITADO,Aprovado,116591800904,E M PAULO FREIRE
45,2021,1,VALOR DEPOSITADO,Aprovado,202131890513737,CE MACHADO DE ASSIS
45,2022,2,VALOR DEPOSITADO,Aprovado,202131890513737,CE MACHADO DE ASSIS
45,2023,3,CONCLUIDA,Aprovado,202131890513737,CE MACHADO DE ASSIS
46,2019,9,VALOR DEPOSITADO,Aprovado,120575510837,E M LEVI CARNEIRO
46,2020,1,VALOR DEPOSITADO,Aprovado,202031910526786,CE PAULO ASSIS RIBEIRO
46,2021,2,VALOR DEPOSITADO,Aprovado,202031910526786,CE PAULO ASSIS RIBEIRO
46,2022,3,CONCLUIDA,Reprovado,202031910526786,CE PAULO ASSIS RIBEIRO
46,2023,3,CONCLUIDA,Não avaliado,202031910526786,CE PAULO ASSIS RIBEIRO
47,2019,1,VALOR DEPOSITADO,Aprovado,M07100658,CPII - CAMPUS NITEROI
47,2019,1,VALOR DEPOSITADO,Aprovado,M07100658,CPII - CAMPUS NITEROI
47,2020,2,VALOR DEPOSITADO,Aprovado,M07100658,CPII - CAMPUS NITEROI
47,2020,2,VALOR DEPOSITADO,Aprovado,M07100658,CPII - CAMPUS NITEROI
47,2021,3,VALOR DEPOSITADO,Aprovado,M07100658,CPII - CAMPUS NITEROI
48,2019,9,VALOR DEPOSITADO,Aprovado,119632140302,E M HONORINA DE CARVALHO
48,2020,1,VALOR DEPOSITADO,Aprovado,202032150583792,CE MANUEL DE ABREU
48,2021,2,VALOR DEPOSITADO,Aprovado,202032150583792,CE MANUEL DE ABREU
48,2022,3,CONCLUIDA,Transferido,202032150583792,CE MANUEL DE ABREU
49,2019,9,CONCLUIDA,Reprovado,116617704109,ESCOLA MUNICIPAL ALTIVO CESAR
49,2020,9,VALOR DEPOSITADO,Aprovado,116617704109,ESCOLA MUNICIPAL ALTIVO CESAR
49,2021,1,CONCLUIDA,Reprovado,202132150615471,CE MANUEL DE ABREU
49,2022,1,CONCLUIDA,Transferido,202132150615471,CE MANUEL DE ABREU
50,2019,9,VALOR DEPOSITADO,Aprovado,120729202134,E M RACHIDE DA GLORIA SALIM SAKER
50,2019,9,VALOR DEPOSITADO,Aprovado,120729202134,E M RACHIDE DA GLORIA SALIM SAKER
50,2020,1,VALOR DEPOSITADO,Aprovado,202019340601344,CE DAVID CAPISTRANO
50,2020,1,VALOR DEPOSITADO,Aprovado,202019340601344,CE DAVID CAPISTRANO
50,2021,2,VALOR DEPOSITADO,Aprovado,202019340601344,CE DAVID CAPISTRANO
50,2021,2,VALOR DEPOSITADO,Aprovado,202019340601344,CE DAVID CAPISTRANO
50,2022,3,VALOR DEPOSITADO,Aprovado,202019340601344,CE DAVID CAPISTRANO
51,2019,9,PRE-INSCRITO,Reprovado,116669453409,E M HONORINA DE CARVALHO
52,2019,9,VALOR DEPOSITADO,Aprovado,121403350158,E M DR ALBERTO FRANCISCO TORRES
52,2019,9,VALOR DEPOSITADO,Aprovado,121403350158,E M DR ALBERTO FRANCISCO TORRES
52,2020,1,VALOR DEPOSITADO,Aprovado,202031870893767,CE HILARIO RIBEIRO
52,2020,1,VALOR DEPOSITADO,Aprovado,202031870893767,CE HILARIO RIBEIRO
52,2021,2,VALOR DEPOSITADO,Aprovado,202031870893767,CE JOAQUIM TAVORA
52,2021,2,VALOR DEPOSITADO,Aprovado,202031870893767,CE JOAQUIM TAVORA
52,2022,3,VALOR DEPOSITADO,Aprovado,202031870893767,CE JOAQUIM TAVORA
53,2019,9,VALOR DEPOSITADO,Aprovado,122083149997,E M JOSE DE ANCHIETA
53,2019,9,VALOR DEPOSITADO,Aprovado,122083149997,E M JOSE DE ANCHIETA
53,2020,1,VALOR DEPOSITADO,Aprovado,201632000409560,CE DAVID CAPISTRANO
53,2020,1,VALOR DEPOSITADO,Aprovado,201632000409560,CE DAVID CAPISTRANO
53,2021,2,VALOR DEPOSITADO,Aprovado,201632000409560,CE DAVID CAPISTRANO
53,2021,2,VALOR DEPOSITADO,Aprovado,201632000409560,CE DAVID CAPISTRANO
53,2022,3,VALOR DEPOSITADO,Aprovado,201632000409560,CE DAVID CAPISTRANO
54,2019,9,VALOR DEPOSITADO,Aprovado,123308288370,ESCOLA MUNICIPAL ALTIVO CESAR
54,2019,9,VALOR DEPOSITADO,Aprovado,123308288370,ESCOLA MUNICIPAL ALTIVO CESAR
54,2020,1,VALOR DEPOSITADO,Aprovado,202031850814160,CE CONSELHEIRO MACEDO SOARES
54,2020,1,VALOR DEPOSITADO,Aprovado,202031850814160,CE CONSELHEIRO MACEDO SOARES
54,2021,2,VALOR DEPOSITADO,Aprovado,202031850814160,CE CONSELHEIRO MACEDO SOARES
54,2021,2,VALOR DEPOSITADO,Aprovado,202031850814160,CE CONSELHEIRO MACEDO SOARES
54,2022,3,VALOR DEPOSITADO,Aprovado,202031850814160,CE CONSELHEIRO MACEDO SOARES
55,2019,9,VALOR DEPOSITADO,Aprovado,119095431605,ESCOLA MUNICIPAL ALTIVO CESAR
55,2020,1,VALOR DEPOSITADO,Aprovado,202031881480078,LICEU NILO PECANHA
55,2021,2,VALOR DEPOSITADO,Aprovado,202031881480078,LICEU NILO PECANHA
55,2022,3,CONCLUIDA,Dep.neste ano,202031881480078,LICEU NILO PECANHA
56,2019,9,EMAIL NAO CONFIRMADO,Reprovado,121974841170,E M RACHIDE DA GLORIA SALIM SAKER
57,2019,9,VALOR DEPOSITADO,Aprovado,117519598216,E M JOSE DE ANCHIETA
57,2019,9,VALOR DEPOSITADO,Aprovado,117519598216,E M JOSE DE ANCHIETA
57,2020,1,VALOR DEPOSITADO,Aprovado,202031860500509,CE GUILHERME BRIGGS
57,2020,1,VALOR DEPOSITADO,Aprovado,202031860500509,CE GUILHERME BRIGGS
57,2021,2,VALOR DEPOSITADO,Aprovado,202031860500509,CE GUILHERME BRIGGS
57,2021,2,VALOR DEPOSITADO,Aprovado,202031860500509,CE GUILHERME BRIGGS
57,2022,3,VALOR DEPOSITADO,Aprovado,202031860500509,CE GUILHERME BRIGGS
58,2019,9,CONCLUIDA,Reprovado,117151579232,E M PAULO FREIRE
58,2020,9,VALOR DEPOSITADO,Aprovado,117151579232,EE MENEZES VIEIRA
58,2021,1,CONCLUIDA,Reprovado,201631830722810,CE DOUTOR LUCIANO PESTRE
59,2019,9,INSCRICAO PARCIAL,Dep.neste ano,116529997368,E M LEVI CARNEIRO
59,2022,3,INSCRICAO PARCIAL,Abandonou,202031910525380,CE PAULO ASSIS RIBEIRO
60,2019,9,CONCLUIDA,Reprovado,121445712872,E M HONORINA DE CARVALHO
60,2020,9,VALOR DEPOSITADO,Aprovado,121445712872,E M HONORINA DE CARVALHO
60,2021,1,VALOR DEPOSITADO,Aprovado,202131881567080,LICEU NILO PECANHA
60,2022,2,CONCLUIDA,Abandonou,202131881567080,LICEU NILO PECANHA
62,2019,9,CONCLUIDA,Reprovado,116617931180,ESCOLA MUNICIPAL ALTIVO CESAR
62,2020,9,VALOR DEPOSITADO,Aprovado,116617931180,ESCOLA MUNICIPAL ALTIVO CESAR
63,2019,2,VALOR DEPOSITADO,Aprovado,2007.0101.3935,COLEGIO UNIVERSITARIO PROFº GERALDO ACHILLES DOS REIS
64,2019,9,VALOR DEPOSITADO,Aprovado,115759599509,E M JOAO BRAZIL
64,2020,1,VALOR DEPOSITADO,Aprovado,202032261050040,CE RAUL VIDAL
64,2021,2,VALOR DEPOSITADO,Aprovado,202032261050040,CE RAUL VIDAL
65,2019,9,VALOR DEPOSITADO,Aprovado,119359354618,E M MAESTRO HEITOR VILLA LOBOS
65,2020,1,VALOR DEPOSITADO,Aprovado,202032290342310,CE ZULEIKA RAPOSO VALLADARES
65,2021,2,VALOR DEPOSITADO,Aprovado,202032290342310,CE ZULEIKA RAPOSO VALLADARES
65,2022,3,CONCLUIDA,Reprovado,202032290342310,CE ZULEIKA RAPOSO VALLADARES
65,2023,3,CONCLUIDA,Não avaliado,202032290342310,LICEU NILO PECANHA
67,2019,1,VALOR DEPOSITADO,Aprovado,M07500626,CPII - CAMPUS NITEROI
67,2019,1,VALOR DEPOSITADO,Aprovado,M07500626,CPII - CAMPUS NITEROI
67,2020,2,VALOR DEPOSITADO,Aprovado,M07500626,CPII - CAMPUS NITEROI
67,2020,2,VALOR DEPOSITADO,Aprovado,M07500626,CPII - CAMPUS NITEROI
67,2021,3,VALOR DEPOSITADO,Aprovado,M07500626,CPII - CAMPUS NITEROI
70,2019,9,PRE-INSCRITO,Dep.neste ano,119292322094,E M RACHIDE DA GLORIA SALIM SAKER
70,2020,1,PRE-INSCRITO,Aprovado,202019340602154,CE DAVID CAPISTRANO
70,2021,2,PRE-INSCRITO,Aprovado,202019340602154,CE DAVID CAPISTRANO
70,2022,3,PRE-INSCRITO,Aprovado,202019340602154,CE DAVID CAPISTRANO
71,2019,9,VALOR DEPOSITADO,Aprovado,119538671111,E M LEVI CARNEIRO
71,2020,1,VALOR DEPOSITADO,Aprovado,202031830967697,CE AURELINO LEAL
71,2021,2,VALOR DEPOSITADO,Aprovado,202031830967697,CE AURELINO LEAL
71,2022,3,CONCLUIDA,Reprovado,202031830967697,CE AURELINO LEAL
72,2019,9,VALOR DEPOSITADO,Aprovado,112524885800,ESCOLA MUNICIPAL ALTIVO CESAR
72,2019,9,VALOR DEPOSITADO,Aprovado,112524885800,ESCOLA MUNICIPAL ALTIVO CESAR
72,2020,1,VALOR DEPOSITADO,Aprovado,201631830764632,CE HILARIO RIBEIRO
72,2020,1,VALOR DEPOSITADO,Aprovado,201631830764632,CE HILARIO RIBEIRO
72,2021,2,VALOR DEPOSITADO,Aprovado,201631830764632,CE HILARIO RIBEIRO
72,2021,2,VALOR DEPOSITADO,Aprovado,201631830764632,CE HILARIO RIBEIRO
72,2022,3,VALOR DEPOSITADO,Aprovado,201631830764632,CE HILARIO RIBEIRO
73,2019,9,VALOR DEPOSITADO,Aprovado,119492772085,ESCOLA MUNICIPAL ANTINEIA SILVEIRA MIRANDA
73,2019,9,VALOR DEPOSITADO,Aprovado,119492772085,ESCOLA MUNICIPAL ANTINEIA SILVEIRA MIRANDA
73,2020,1,VALOR DEPOSITADO,Aprovado,202019340604793,CE DAVID CAPISTRANO
73,2020,1,VALOR DEPOSITADO,Aprovado,202019340604793,CE DAVID CAPISTRANO
73,2021,2,VALOR DEPOSITADO,Aprovado,202019340604793,CE DAVID CAPISTRANO
73,2021,2,VALOR DEPOSITADO,Aprovado,202019340604793,CE DAVID CAPISTRANO
73,2022,3,VALOR DEPOSITADO,Aprovado,202019340604793,CE DAVID CAPISTRANO
74,2019,9,CONCLUIDA,Dep.neste ano,120919076857,E M JOSE DE ANCHIETA
74,2020,1,CONCLUIDA,Dep.outros anos,202031910520410,CE PAULO ASSIS RIBEIRO
74,2021,2,CONCLUIDA,Dep.outros anos,202031910520410,CE PAULO ASSIS RIBEIRO
76,2019,9,VALOR DEPOSITADO,Aprovado,116618392070,ESCOLA MUNICIPAL ALTIVO CESAR
76,2020,1,VALOR DEPOSITADO,Aprovado,202032150591469,CE MANUEL DE ABREU
76,2021,2,VALOR DEPOSITADO,Aprovado,202032150591469,CE MANUEL DE ABREU
77,2019,9,VALOR DEPOSITADO,Aprovado,119489030596,E M PAULO FREIRE
77,2020,1,VALOR DEPOSITADO,Aprovado,202032100407818,CE HILARIO RIBEIRO
77,2021,2,VALOR DEPOSITADO,Aprovado,202032100407818,CE HILARIO RIBEIRO
78,2019,9,CONCLUIDA,Reprovado,120955206617,E M MAESTRO HEITOR VILLA LOBOS
78,2020,9,VALOR DEPOSITADO,Aprovado,120955206617,E M MAESTRO HEITOR VILLA LOBOS
78,2021,1,VALOR DEPOSITADO,Aprovado,202132290349977,CE ZULEIKA RAPOSO VALLADARES
78,2022,2,VALOR DEPOSITADO,Aprovado,202132290349977,CE ZULEIKA RAPOSO VALLADARES
78,2023,3,CONCLUIDA,Não avaliado,202132290349977,LICEU NILO PECANHA
79,2019,9,VALOR DEPOSITADO,Aprovado,120937577706,E M MAESTRO HEITOR VILLA LOBOS
79,2019,9,VALOR DEPOSITADO,Aprovado,120937577706,E M MAESTRO HEITOR VILLA LOBOS
79,2020,1,VALOR DEPOSITADO,Aprovado,202032290339851,CE ZULEIKA RAPOSO VALLADARES
79,2020,1,VALOR DEPOSITADO,Aprovado,202032290339851,CE ZULEIKA RAPOSO VALLADARES
79,2021,2,VALOR DEPOSITADO,Aprovado,202032290339851,CE ZULEIKA RAPOSO VALLADARES
